   	       	            fitness            	              size             
   	       	-------------------------------	-------------------------------
gen	time   	avg    	max  	min  	std    	avg    	max	min	std    
0  	132.966	11192.5	13027	9535 	288.97 	7.002  	13 	5  	1.43035
1  	131.419	11169.8	13027	9437 	288.937	7.31275	13 	3  	1.60546
2  	131.15 	11157.3	13027	9740 	270.114	7.66998	17 	4  	1.80524
3  	132.586	11167  	13027	10099	269.297	7.92063	17 	2  	1.98047
4  	130.327	11153.6	13027	9817 	278.778	8.11683	17 	2  	2.13973
5  	130.546	11146.7	13027	9203 	285.747	8.31818	17 	2  	2.36734
6  	130.023	11135.5	13027	9203 	298.314	8.47535	20 	2  	2.50303
7  	128.738	11152.7	13027	9144 	299.471	8.55315	20 	1  	2.61566
8  	128.443	11150.1	13030	9346 	339.814	8.67387	20 	1  	2.85947
9  	126.972	11142.3	13030	9346 	322.95 	8.77843	20 	1  	2.89149
10 	126.738	11140.8	13030	9756 	316.147	8.9589 	20 	1  	3.05339
11 	127.276	11131.5	13030	9693 	351.616	9.08203	20 	1  	3.09061
12 	125.656	11138  	13145	9697 	343.542	9.1345 	20 	1  	3.22506
13 	124.908	11154.9	13145	9789 	307.661	9.18677	20 	1  	3.35919
14 	125.084	11138  	13145	9085 	349.719	9.21553	20 	1  	3.47224
15 	124.33 	11118.7	13145	9200 	304.493	9.23062	20 	1  	3.57358
16 	124.362	11132.6	13159	9250 	348.168	9.33269	20 	1  	3.69033
17 	123.387	11144.4	13159	9178 	328.612	9.37259	20 	1  	3.70721
18 	123.124	11135.4	13159	9250 	346.962	9.4817 	20 	1  	3.80132
19 	123.242	11130.8	13159	9250 	303.784	9.54615	20 	1  	3.83077
20 	123.347	11133.5	13159	9250 	332.842	9.60845	20 	1  	3.93228
21 	121.585	11129.3	13159	8979 	326.424	9.6341 	20 	1  	4.02509
22 	121.861	11132.8	13159	8979 	329.97 	9.64054	20 	1  	4.12297
23 	121.362	11132.2	13159	9353 	295.668	9.6355 	20 	1  	4.25822
24 	121.201	11136  	13159	9200 	340.063	9.68   	20 	1  	4.24987
25 	120.354	11128.9	13159	9203 	297.637	9.74905	20 	1  	4.28253
26 	119.942	11144.2	13159	9198 	304.85 	9.70778	20 	1  	4.35106
27 	118.836	11127.9	13159	9176 	335.333	9.80114	20 	1  	4.41548
28 	118.945	11135.3	13159	9229 	316.987	9.76749	20 	1  	4.51764
29 	117.544	11145.6	13159	9203 	336.527	9.8283 	20 	1  	4.64014
30 	118.032	11147.9	13159	9203 	348.888	9.84557	20 	1  	4.61132
31 	117.295	11138.4	13159	9941 	297.814	9.88346	20 	1  	4.62316
32 	115.762	11142.8	13159	9256 	330.752	9.81614	20 	1  	4.7346 
33 	115.971	11147.5	13159	9543 	316.067	9.76779	20 	1  	4.67906
34 	115.117	11139.8	13159	9889 	271.706	9.69907	20 	1  	4.81868
35 	114.227	11131  	13159	9267 	279.784	9.6903 	20 	1  	4.80799
36 	113.986	11126  	13159	9543 	329.653	9.67412	20 	1  	4.79058
37 	113.053	11130.6	13169	9543 	332.051	9.56691	20 	1  	4.92133
38 	111.775	11116.6	13169	9203 	280.184	9.56215	20 	1  	4.88621
39 	111.455	11125.6	13536	9031 	344.421	9.53704	20 	1  	4.8706 
40 	111.017	11134.3	13536	9059 	340.092	9.50462	20 	1  	4.90374
41 	110.243	11129.5	13536	9203 	330.79 	9.46494	20 	1  	4.85715
42 	110.067	11136.2	13536	8978 	350.037	9.46961	20 	1  	4.90598
43 	107.356	11116.7	13536	8978 	332.86 	9.43566	20 	1  	4.91354
44 	107.262	11123.6	13536	9203 	334.784	9.39266	20 	1  	4.95076
45 	106.302	11126.5	13536	9209 	330.409	9.36996	20 	1  	5.01961
46 	105.712	11135.9	13536	9256 	320.045	9.3766 	20 	1  	4.99001
47 	105.476	11136.3	13536	9205 	314.993	9.40693	20 	1  	5.03025
48 	104.801	11143.8	13536	9830 	301.078	9.27505	20 	1  	5.12245
49 	103.962	11152.5	13536	9899 	290.224	9.25455	20 	1  	5.16604
50 	102.985	11136.3	13536	9256 	244.686	9.16334	20 	1  	5.13083
51 	101.692	11134.5	13536	9200 	316.063	9.05254	20 	1  	5.03385
52 	100.47 	11124.7	13536	9109 	282.799	8.95479	20 	1  	5.03547
53 	100.109	11140.5	13536	9131 	310.237	8.90614	20 	1  	4.98538
54 	98.8743	11163.7	13536	9206 	341.449	8.81261	20 	1  	5.03546
55 	96.6242	11139  	13536	9198 	348.8  	8.77158	20 	1  	4.90522
56 	95.6935	11137.9	13536	9198 	314.239	8.67325	20 	1  	4.9064 
57 	94.5491	11147.6	13536	9510 	299.743	8.59319	20 	1  	4.85648
58 	94.2694	11123.7	13536	9200 	364.621	8.57066	20 	1  	4.84592
59 	93.5728	11118.5	13536	9200 	319.733	8.40179	20 	1  	4.88339
60 	92.8245	11120  	13536	9200 	337.085	8.34581	20 	1  	4.86849
61 	91.7221	11126.5	13536	9182 	342.297	8.41815	20 	1  	4.80634
62 	91.3938	11126.4	13536	8971 	301.858	8.40497	20 	1  	4.81591
63 	89.6829	11138  	13536	8971 	335.06 	8.39184	20 	1  	4.78443
64 	89.1782	11155  	13536	8971 	341.972	8.30973	20 	1  	4.72478
65 	89.4114	11126.3	13536	9093 	296.948	8.29859	20 	1  	4.78782
66 	88.7659	11142.2	13536	9377 	302.945	8.15168	20 	1  	4.78773
67 	88.1867	11137.4	13536	9276 	301.454	8.11796	20 	1  	4.87793
68 	86.8616	11124.7	13536	9718 	255.709	8.13181	20 	1  	5.00353
69 	87.1852	11120.6	13536	9849 	278.346	8.05789	20 	1  	4.878  
70 	85.8186	11137.8	13536	9594 	330.428	7.96497	20 	1  	4.76622
71 	85.9834	11140.7	13536	9198 	340.666	7.9021 	20 	1  	4.92754
72 	85.0033	11120.7	13536	9203 	298.699	7.91099	20 	1  	4.96207
73 	84.5851	11122.2	13536	9257 	294.958	7.86411	20 	1  	4.8914 
74 	83.6093	11132.7	13536	8896 	347.037	7.74435	20 	1  	4.8482 
75 	83.0326	11120.3	13536	9061 	328.532	7.625  	20 	1  	4.84893
76 	82.4973	11119.2	13536	9352 	352.423	7.53553	20 	1  	4.84518
77 	82.1023	11106  	13536	9263 	357.526	7.48443	20 	1  	4.88667
78 	79.8884	11120.7	13536	9263 	345.009	7.28843	20 	1  	4.93845
79 	77.735 	11127  	13536	9200 	335.992	7.16724	20 	1  	4.89524
80 	77.5647	11098.6	13536	9200 	319.777	7.19277	20 	1  	4.89343
81 	77.0848	11126.5	13536	9543 	298.999	7.08591	20 	1  	4.83183
82 	76.7438	11126.1	13536	9543 	288.138	7.00858	20 	1  	4.7994 
83 	75.6381	11080.6	13536	9198 	306.109	6.89726	20 	1  	4.75708
84 	74.7251	11100.2	13536	9198 	295.268	6.77607	20 	1  	4.6002 
85 	74.3085	11122  	13536	9198 	302.002	6.69454	20 	1  	4.60233
86 	73.9531	11123.8	13536	9198 	309.621	6.58433	20 	1  	4.58881
87 	73.7054	11132  	13536	9198 	336.442	6.53912	20 	1  	4.52019
88 	73.625 	11118.1	13536	9198 	287.044	6.47368	20 	1  	4.43838
89 	72.4207	11120.7	13536	8727 	352.694	6.35763	20 	1  	4.44239
90 	72.7854	11135.5	13536	8727 	321.502	6.4264 	20 	1  	4.44301
91 	72.0597	11124.5	13536	8722 	257.911	6.40203	20 	1  	4.40253
92 	71.6349	11124.7	13536	8725 	292.24 	6.35076	20 	1  	4.36123
93 	71.4593	11134  	13536	8704 	340.559	6.31313	20 	1  	4.27776
94 	71.0395	11144.7	13536	8704 	398.544	6.27731	20 	1  	4.38853
95 	70.0417	11130.6	13536	8704 	332.969	6.20805	20 	1  	4.37316
96 	69.7909	11130.4	13536	8709 	323.841	6.10888	20 	1  	4.32552
97 	68.5074	11120.8	13536	8709 	334.614	6.02508	20 	1  	4.24907
98 	69.1373	11126.2	13536	8905 	314.287	5.94825	20 	1  	4.18906
99 	68.2702	11114.4	13536	8905 	309.796	5.86833	20 	1  	4.11635
100	67.5849	11109.2	13536	8905 	282.172	5.78869	20 	1  	4.1623 
101	67.4709	11115.1	13536	9159 	328.44 	5.71595	20 	1  	4.16647
102	66.9673	11139.3	13536	9646 	317.597	5.64511	20 	1  	4.22306
103	66.25  	11132.4	13536	9200 	318.608	5.62252	19 	1  	4.14312
104	66.3023	11127  	13536	9157 	314.715	5.5438 	18 	1  	4.01651
105	66.381 	11125.2	13536	8817 	332.13 	5.51155	18 	1  	3.99864
106	66.2213	11130.3	13536	9731 	284.273	5.47941	18 	1  	4.01552
107	66.4671	11122.5	13536	9203 	323.278	5.43421	18 	1  	3.99081
108	65.4105	11105.2	13536	9241 	249.593	5.41215	19 	1  	3.94909
109	65.2673	11103.2	13536	8978 	272.487	5.28852	19 	1  	3.95823
110	63.7796	11096.8	13536	9388 	261.874	5.14075	20 	1  	3.87021
111	63.7175	11127.7	13536	9203 	323.907	5.10784	20 	1  	3.86049
112	63.6563	11116.8	13536	9014 	341.16 	5.11746	20 	1  	3.81239
113	62.8786	11135.8	13536	9462 	298.088	5.00977	20 	1  	3.77026
114	62.7132	11118.2	13536	9187 	292.727	4.95447	20 	1  	3.72483
115	62.5222	11115.8	13536	8731 	320.17 	4.89773	20 	1  	3.71653
116	61.9253	11132.4	13536	9203 	308.866	4.84603	20 	1  	3.79464
117	61.8096	11136.2	13536	9153 	376.503	4.81877	20 	1  	3.73207
118	61.1415	11123.6	13536	9507 	333.918	4.75283	20 	1  	3.66249
119	60.6902	11118.2	13536	9459 	297.552	4.74516	20 	1  	3.64642
120	61.0137	11101.9	13536	9182 	282.157	4.6715 	20 	1  	3.65038
121	60.8708	11122.9	13536	9200 	298.458	4.6254 	20 	1  	3.68967
122	60.0182	11119.4	13536	8978 	316.319	4.50562	20 	1  	3.57621
123	59.6231	11138.4	13536	8974 	287.001	4.47756	20 	1  	3.63514
124	59.4396	11114.8	13536	8974 	259.654	4.4592 	20 	1  	3.58245
125	59.0863	11119.6	13536	8885 	263.793	4.41054	20 	1  	3.5613 
126	58.6458	11119.4	13536	9198 	255.281	4.30303	20 	1  	3.436  
127	58.6263	11130.1	13536	9200 	314.923	4.23726	20 	1  	3.41261
128	57.9653	11126.6	13536	9200 	285.175	4.20191	20 	1  	3.45568
129	57.2158	11132.4	13536	9543 	259.699	4.09841	20 	1  	3.35845
130	57.865 	11117.5	13536	9198 	277.472	4.08716	20 	1  	3.33312
131	57.8179	11112.6	13536	9203 	273.108	4.03797	20 	1  	3.25574
132	57.4097	11124.7	13536	9169 	256.944	3.99842	20 	1  	3.22044
133	57.0244	11109.6	13536	9198 	260.237	3.95426	20 	1  	3.191  
134	57.1434	11118.5	13536	9198 	315.048	3.95276	20 	1  	3.14695
135	56.7068	11114.3	13536	9198 	243.504	3.90723	20 	1  	3.1517 
136	56.3305	11127.9	13536	9534 	252.795	3.8179 	20 	1  	3.10943
137	56.1049	11116.1	13536	8977 	277.757	3.76646	20 	1  	3.12493
138	56.2667	11127.3	13536	8978 	259.891	3.70579	20 	1  	3.03054
139	55.731 	11120.3	13536	8978 	263.282	3.65781	20 	1  	3.00574
140	55.4065	11106.5	13536	9200 	254.13 	3.58814	20 	1  	2.92103
141	55.5495	11112.6	13536	9203 	224.388	3.5405 	20 	1  	2.76647
142	55.626 	11117.1	13536	9061 	238.335	3.46812	20 	1  	2.73736
143	55.3984	11115  	13536	9203 	238.544	3.41925	20 	1  	2.73032
144	55.244 	11110.7	13536	9129 	300.848	3.39845	20 	1  	2.70933
145	54.9063	11133.5	13536	8978 	344.282	3.33746	20 	1  	2.64529
146	54.4604	11128  	13536	8978 	345.417	3.28748	20 	1  	2.61624
147	54.6218	11144.1	13536	8978 	358.843	3.26852	20 	1  	2.56739
148	54.5109	11137.4	13536	8978 	288.772	3.20339	20 	1  	2.54426
149	54.3807	11134.6	13536	8978 	288.832	3.18154	20 	1  	2.62197
150	54.5478	11118.8	13536	9198 	271.905	3.16743	20 	1  	2.53902
151	54.078 	11127.8	13536	9198 	294.795	3.12423	20 	1  	2.48336
152	53.7842	11140.5	13536	9543 	287.18 	3.09342	20 	1  	2.49511
153	53.8354	11122.4	13536	9202 	310.785	3.0367 	20 	1  	2.51452
154	53.3713	11139.4	13536	8809 	293.519	3.01527	20 	1  	2.5195 
155	53.1671	11122.6	13536	9203 	278.478	3.00457	20 	1  	2.52578
156	52.9602	11119.4	13536	9198 	239.749	2.96195	20 	1  	2.47731
157	52.6238	11136.3	13536	9203 	279.948	2.93009	20 	1  	2.52067
158	52.6899	11132.7	13536	9203 	282.148	2.89226	20 	1  	2.48862
159	52.2968	11115.1	13536	9203 	271.834	2.87576	20 	1  	2.4716 
160	52.0675	11123.7	13536	9200 	262.82 	2.80938	20 	1  	2.44082
161	52.0067	11116.4	13536	9197 	244.787	2.7855 	18 	1  	2.40579
162	51.6112	11103.8	13536	9120 	268.993	2.77677	18 	1  	2.40568
163	51.7176	11109.4	13536	9203 	285.439	2.74398	18 	1  	2.36072
164	51.8782	11110.4	13536	8945 	278.147	2.71579	18 	1  	2.3896 
165	51.954 	11135.5	13536	9203 	235.023	2.68018	16 	1  	2.27233
166	50.8871	11129.6	13536	9198 	274.565	2.63718	16 	1  	2.25848
167	51.2144	11116.2	13536	9203 	211.964	2.61527	16 	1  	2.26273
168	51.4143	11123.8	13536	9198 	223.864	2.60987	17 	1  	2.2468 
169	50.6526	11119.7	13536	9198 	251.937	2.57164	17 	1  	2.29017
170	51.2076	11120.3	13536	9200 	222.574	2.57079	17 	1  	2.2827 
171	50.8905	11137.3	13536	9543 	217.22 	2.54018	17 	1  	2.20488
172	50.9771	11124.3	13536	9203 	205.049	2.52452	17 	1  	2.17778
173	51.0953	11122.5	13536	9198 	247.605	2.52819	17 	1  	2.18301
174	50.845 	11130.5	13536	9198 	244.513	2.48444	17 	1  	2.21061
175	50.6603	11125.1	13536	9198 	240.217	2.46154	17 	1  	2.14214
176	50.7295	11125.1	13536	9198 	304.462	2.44313	17 	1  	2.05359
177	49.6934	11125.1	13536	9200 	265.617	2.39823	17 	1  	2.03816
178	49.9596	11119.5	13536	9203 	259.675	2.37408	17 	1  	2.03322
179	50.2215	11118.7	13536	9101 	266.075	2.35441	17 	1  	2.05712
180	50.2697	11122.3	13536	9101 	237.143	2.33774	17 	1  	2.05158
181	50.0503	11118.6	13536	8978 	232.817	2.31965	16 	1  	1.98466
182	49.7193	11117.1	13536	9068 	258.467	2.30307	16 	1  	1.97653
183	50.0087	11120.1	13536	9068 	260.021	2.27778	16 	1  	1.95984
184	49.5394	11114.4	13536	8978 	281.243	2.27153	17 	1  	1.95851
185	50.2959	11118.1	13536	9203 	252.608	2.2551 	16 	1  	1.9122 
186	50.0952	11117.6	13536	9203 	224.272	2.25473	16 	1  	1.92146
187	50.2389	11125.1	13536	9203 	237.537	2.19622	16 	1  	1.88881
188	49.985 	11119.8	13536	9206 	250.151	2.2061 	16 	1  	1.87905
189	49.7342	11137.3	13536	9200 	230.014	2.17681	16 	1  	1.87061
190	49.7541	11125  	13536	9200 	247.022	2.1534 	16 	1  	1.84483
191	49.4722	11126.2	13536	9200 	243.696	2.12139	13 	1  	1.76666
192	49.5899	11113.4	13536	9065 	245.133	2.11255	16 	1  	1.78224
193	49.4146	11122.9	13536	9200 	199.637	2.10086	16 	1  	1.75147
194	49.3689	11137.2	13536	10055	208.306	2.08345	16 	1  	1.74701
195	49.228 	11122.8	13536	9200 	224.927	2.06753	16 	1  	1.74602
196	49.309 	11123.7	13536	9200 	187.847	2.07461	16 	1  	1.74325
197	49.1086	11127.4	13536	9200 	189.523	2.07163	16 	1  	1.75196
198	48.9547	11132.5	13536	9537 	202.503	2.04435	16 	1  	1.74465
199	49.272 	11129.3	13536	9543 	162.894	2.02286	16 	1  	1.73107
200	49.5026	11117.9	13536	9203 	217.108	2.00428	16 	1  	1.6971 
201	49.3048	11126.9	13536	9314 	184.097	2.0057 	16 	1  	1.69126
202	49.4933	11121.8	13536	9314 	178.127	1.9872 	14 	1  	1.64524
203	49.1803	11118.1	13536	9543 	170.402	1.97159	16 	1  	1.7203 
204	48.8097	11127.5	13536	8694 	237.728	1.97872	15 	1  	1.72782
205	49.2344	11131.9	13536	9543 	180.064	1.96034	15 	1  	1.70106
206	49.0375	11128.9	13536	9203 	170.112	1.94908	17 	1  	1.7268 
207	48.6929	11123.1	13536	8821 	208.384	1.92373	17 	1  	1.679  
208	49.2779	11133.2	13536	8821 	231.195	1.9323 	15 	1  	1.6485 
209	49.3798	11135  	13536	9200 	228.26 	1.91831	15 	1  	1.62691
210	49.4558	11118.5	13536	9200 	182.192	1.91561	15 	1  	1.60385
211	49.5353	11128.3	13536	10815	159.856	1.89607	15 	1  	1.55259
212	49.6271	11124.9	13536	9203 	185.563	1.89341	15 	1  	1.53222
213	49.8375	11139.3	13536	9200 	225.274	1.88515	15 	1  	1.52412
214	49.8684	11137.8	13536	9543 	199.137	1.90769	15 	1  	1.55186
215	49.4587	11137.4	13536	9352 	202.549	1.9148 	15 	1  	1.56507
216	49.0739	11133.4	13536	9203 	220.97 	1.90516	20 	1  	1.60437
217	49.6054	11136.5	13536	10666	158.712	1.90251	20 	1  	1.61089
218	49.7967	11126  	13536	9543 	160.378	1.90821	20 	1  	1.60143
219	49.3809	11130.8	13536	9200 	233.59 	1.89861	16 	1  	1.55706
220	49.9041	11133.8	13536	9395 	209.469	1.87795	16 	1  	1.537  
221	49.9127	11127.1	13536	9543 	178.292	1.87535	13 	1  	1.50658
222	49.8712	11124.9	13536	9203 	196.431	1.85892	13 	1  	1.50775
223	49.8997	11131  	13536	9203 	227.801	1.86326	14 	1  	1.54467
224	49.7649	11127.2	13536	9203 	247.601	1.85241	15 	1  	1.54706
225	49.957 	11123.8	13536	9203 	210.585	1.85675	15 	1  	1.55039
